,Equipo,T20,T21,Pts,PJ,Prom
0,Boca Juniors,51,22,73,36,2.027
13,River Plate,47,18,65,35,1.857
1,Velez,39,29,68,37,1.837
2,San Lorenzo,39,21,60,36,1.666
14,Racing Club,42,18,60,36,1.666
15,Argentinos,42,16,58,36,1.611
3,Talleres (C),37,20,57,36,1.583
16,Rosario Central,36,18,54,36,1.5
4,Estudiantes (LP),30,22,52,36,1.444
17,Lanus,36,16,52,36,1.444
5,Def y Justicia,39,13,52,37,1.405
18,Independiente,32,17,49,36,1.361
6,Newells,38,10,48,36,1.333
7,Union,28,18,46,36,1.277
19,Arsenal,35,11,46,36,1.277
20,Banfield,27,20,47,37,1.27
8,Atl Tucuman,29,16,45,36,1.25
21,Colon,21,24,45,36,1.25
9,Central Cba (SdE),26,16,42,36,1.166
22,Gimnasia (LP),24,16,40,37,1.081
10,Huracan,22,13,35,36,0.972
11,Platense,0,11,11,12,0.916
23,Aldosivi,22,11,33,36,0.916
24,Sarmiento (J),0,11,11,12,0.916
12,Godoy Cruz,18,15,33,37,0.891
25,Patronato,23,9,32,36,0.888
