,#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
0,9,Central Cba (SdE),17,13,4,5,4,14,17,-3
1,8,Rosario Central,18,13,5,3,5,16,18,-2
2,7,Argentinos,19,13,5,4,4,14,11,+3
3,6,Banfield,20,13,5,5,3,14,12,+2
4,5,San Lorenzo,21,13,6,3,4,16,16,0
5,4,Racing Club,21,13,6,3,4,14,12,+2
6,3,River Plate,21,13,6,3,4,25,11,+14
7,2,Estudiantes (LP),22,13,6,4,3,16,10,+6
8,13,Aldosivi,11,13,3,2,8,15,21,-6
9,12,Arsenal,12,13,3,3,7,11,23,-12
10,11,Platense,14,13,4,2,7,12,19,-7
11,10,Godoy Cruz,15,13,4,3,6,18,24,-6
12,1,Colon,25,13,7,4,2,23,10,+13
