,#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
0,,,,,,,,,,
1,1,Velez,31,13,10,1,2,23,13,+10
2,2,Colon,25,13,7,4,2,23,10,+13
3,3,Boca Juniors,22,13,6,4,3,22,12,+10
4,4,Estudiantes (LP),22,13,6,4,3,16,10,+6
5,5,River Plate,21,13,6,3,4,25,11,+14
6,6,Racing Club,21,13,6,3,4,14,12,+2
7,7,San Lorenzo,21,13,6,3,4,16,16,0
8,8,Independiente,20,13,6,2,5,16,10,+6
9,9,Talleres (C),20,13,5,5,3,19,16,+3
10,10,Banfield,20,13,5,5,3,14,12,+2
11,11,Argentinos,19,13,5,4,4,14,11,+3
12,12,Lanus,19,13,6,1,6,18,18,0
13,13,Union,19,13,4,7,2,12,14,-2
14,14,Atl Tucuman,18,13,5,3,5,24,20,+4
15,15,Rosario Central,18,13,5,3,5,16,18,-2
16,16,Central Cba (SdE),17,13,4,5,4,14,17,-3
17,17,Gimnasia (LP),15,13,3,6,4,15,20,-5
18,18,Godoy Cruz,15,13,4,3,6,18,24,-6
19,19,Platense,14,13,4,2,7,12,19,-7
20,20,Huracan,13,13,2,7,4,14,17,-3
21,21,Patronato,12,13,4,0,9,12,17,-5
22,22,Def y Justicia,12,13,3,3,7,15,21,-6
23,23,Sarmiento (J),12,13,2,6,5,10,19,-9
24,24,Arsenal,12,13,3,3,7,11,23,-12
25,25,Aldosivi,11,13,3,2,8,15,21,-6
26,26,Newells,11,13,2,5,6,14,21,-7
